小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.3,东风,1,0,40,
22,19.0,东风,1,0,46,
23,17.3,东南风,1,0,51,
00,16.6,东南风,1,0,58,
01,15.0,东南风,1,0,61,
02,14.3,南风,1,0,67,
03,13.2,西南风,1,0,74,
04,12.5,南风,1,0,75,
05,11.6,东南风,1,0,77,
06,10.4,南风,1,0,77,
07,9.5,西南风,1,0,82,
08,11.3,西南风,1,0,78,
09,17.5,西北风,1,0,51,
10,20.9,西南风,2,0,37,
11,23.7,西北风,1,0,28,
12,25.8,北风,2,0,26,
13,27.7,西南风,1,0,10,
14,30.0,南风,1,0,10,
15,31.8,南风,1,0,8,
16,33.4,西北风,2,0,9,
17,34.3,西风,2,0,10,
18,35.0,西风,2,0,9,
19,34.0,西北风,2,0,9,
20,32.8,东北风,3,0,6,
21,30.0,东北风,2,0,7,
