小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,30.2,北风,1,0,24,
22,25.5,北风,2,0,32,
23,22.4,北风,1,0,46,
00,20.5,北风,1,0,52,
01,20.2,北风,1,0,51,
02,24.1,东风,2,0,26,
03,23.5,西南风,1,0,26,
04,22.3,北风,1,0,32,
05,21.4,北风,2,0,30,
06,21.9,东北风,2,0,27,
07,22.6,东北风,3,0,27,
08,22.3,东北风,3,0,28,
09,21.6,东北风,3,0,31,
10,22.4,东北风,3,0,30,
11,24.3,东北风,3,0,28,
12,26.2,东风,3,0,25,
13,27.7,东风,3,0,17,
14,28.3,东风,3,0,16,
15,29.8,东风,3,0,15,
16,30.0,东风,3,0,13,
17,30.8,东风,3,0,11,
18,30.8,东北风,3,0,12,
19,30.6,东北风,2,0,13,
20,29.7,东北风,2,0,15,
21,27.6,北风,1,0,20,
