小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.2,东南风,2,0,59,44
22,18.0,东风,2,0,63,39
23,17.5,东南风,2,0,64,35
00,16.9,东风,2,0,66,33
01,16.6,东南风,2,0,68,35
02,16.0,东南风,2,0,75,36
03,15.5,东风,2,0,80,38
04,15.4,东南风,2,0,83,37
05,15.2,东南风,2,0,85,33
06,15.6,东风,1,0,85,34
07,17.8,东南风,2,0,72,37
08,19.8,东南风,2,0,65,45
09,22.1,东南风,2,0,62,45
10,24.4,东南风,2,0,57,49
11,26.5,南风,2,0,46,49
12,27.9,南风,3,0,42,62
13,28.5,南风,3,0,41,69
14,28.8,西南风,3,0,38,77
15,29.1,西南风,3,0,39,89
16,29.3,南风,2,0,39,93
17,29.3,南风,2,0,43,82
18,28.6,南风,2,0,46,63
19,27.7,南风,2,0,49,47
20,27.0,南风,1,0,52,51
21,26.5,西南风,2,0,55,53
