小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.8,东南风,2,0,69,
22,16.4,东南风,2,0,79,
23,15.6,东南风,2,0,79,
00,15.3,东南风,2,0,85,
01,15.3,东南风,2,0,88,
02,15.4,东南风,3,0,87,
03,15.2,东南风,3,0,88,
04,14.9,东南风,2,0,89,
05,14.9,东南风,2,0,88,
06,16.0,东南风,2,0,86,
07,17.6,东南风,3,0,80,
08,19.2,东南风,3,0,70,
09,20.6,东南风,3,0,62,
10,21.5,东南风,4,0,57,
11,22.5,东南风,4,0,56,
12,23.3,东南风,3,0,58,
13,23.6,东南风,4,0,52,
14,23.9,东南风,4,0,52,
15,24.1,东南风,4,0,55,
16,23.5,东南风,4,0,58,
17,22.7,东南风,4,0,61,
18,21.6,东南风,3,0,66,
19,20.4,东南风,3,0,71,
20,19.9,东南风,3,0,74,
21,19.7,东南风,3,0,77,
