小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.3,东南风,2,0,56,
22,15.1,东南风,3,0,63,
23,14.7,东南风,2,0,65,
00,13.9,东南风,2,0,73,
01,13.6,东南风,2,0,81,
02,13.2,东南风,2,0,85,
03,12.5,东南风,2,0,93,
04,12.6,东南风,2,0,95,
05,12.4,东南风,2,0,95,
06,13.7,东南风,2,0,92,
07,15.9,东南风,3,0,84,
08,18.3,东南风,3,0,74,
09,20.3,南风,3,0,65,
10,22.0,南风,3,0,58,
11,23.7,东南风,3,0,54,
12,25.0,东南风,3,0,48,
13,26.3,南风,3,0,49,
14,26.5,东南风,4,0,45,
15,26.8,东南风,3,0,46,
16,26.0,东南风,3,0,46,
17,25.2,东南风,3,0,50,
18,23.6,东南风,3,0,55,
19,21.9,东南风,3,0,63,
20,20.8,东南风,3,0,69,
21,19.9,东南风,3,0,74,
