小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.9,东南风,2,0,48,
22,16.8,东南风,2,0,57,
23,15.6,东南风,1,0,67,
00,15.3,东南风,2,0,76,
01,15.1,南风,2,0,79,
02,14.8,东南风,2,0,81,
03,14.2,东南风,2,0,84,
04,14.3,东南风,2,0,85,
05,13.9,东南风,2,0,90,
06,14.4,东南风,2,0,90,
07,16.7,东南风,2,0,78,
08,19.3,东南风,2,0,66,
09,21.2,东南风,2,0,59,
10,22.8,南风,3,0,55,
11,24.1,南风,3,0,47,
12,25.2,南风,3,0,47,
13,26.4,东南风,3,0,44,
14,27.2,南风,3,0,40,
15,27.7,东南风,3,0,39,
16,27.4,东南风,3,0,37,
17,27.0,东南风,2,0,38,
18,25.5,东南风,2,0,42,
19,23.4,东南风,2,0,57,
20,22.1,东南风,2,0,64,
21,21.2,东南风,2,0,70,
