小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.9,东南风,2,0,47,
22,19.5,东南风,2,0,50,
23,19.3,东南风,2,0,50,
00,18.3,东南风,2,0,56,
01,17.9,东南风,2,0,58,
02,17.3,东南风,2,0,62,
03,16.9,东南风,2,0,64,
04,15.8,东风,2,0,72,
05,13.6,东风,1,0,90,
06,13.3,东风,1,0,96,
07,18.7,南风,2,0,67,
08,21.0,南风,2,0,62,
09,23.3,南风,2,0,53,
10,25.1,南风,2,0,51,
11,26.6,东南风,2,0,48,
12,27.7,东南风,3,0,41,
13,28.3,南风,3,0,38,
14,29.0,东南风,3,0,30,
15,29.2,南风,2,0,27,
16,29.2,南风,2,0,30,
17,29.0,南风,2,0,31,
18,28.3,南风,2,0,34,
19,26.6,南风,2,0,39,
20,25.8,南风,2,0,49,
21,25.6,南风,2,0,54,
