小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.1,东南风,2,0,41,34
22,18.2,东南风,2,0,43,33
23,17.8,东南风,2,0,50,37
00,16.5,南风,1,0,56,40
01,15.7,南风,2,0,62,37
02,15.4,南风,1,0,68,35
03,15.2,东南风,1,0,74,37
04,14.9,南风,2,0,79,40
05,14.5,东南风,1,0,84,46
06,15.8,东南风,2,0,80,51
07,17.8,东南风,2,0,73,50
08,20.2,东南风,2,0,65,50
09,22.0,南风,2,0,56,52
10,23.9,南风,2,0,51,56
11,26.6,南风,2,0,46,58
12,27.8,东南风,2,0,40,70
13,29.1,南风,2,0,36,101
14,29.6,南风,2,0,36,109
15,29.8,东南风,3,0,38,117
16,29.6,南风,3,0,38,123
17,28.6,东南风,2,0,43,125
18,26.9,南风,2,0,46,121
19,25.6,东南风,2,0,49,113
20,24.5,东南风,2,0,51,95
21,23.4,东南风,2,0,56,55
