小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.1,东南风,1,0,76,
22,16.6,东风,1,0,70,
23,14.5,东南风,1,0,83,
00,13.0,东南风,1,0,92,
01,12.3,东南风,1,0,95,
02,11.7,东风,1,0,97,
03,11.3,东北风,1,0,99,
04,11.0,北风,1,0,100,
05,10.6,西北风,1,0,100,
06,11.6,西北风,1,0,100,
07,15.7,东南风,1,0,85,
08,18.3,南风,2,0,76,
09,21.5,南风,2,0,65,
10,24.0,西南风,2,0,50,
11,25.8,南风,2,0,47,
12,26.8,南风,2,0,47,
13,28.2,南风,2,0,36,
14,28.7,西南风,3,0,35,
15,29.0,西南风,3,0,36,
16,28.6,南风,3,0,40,
17,27.9,南风,2,0,42,
18,26.7,南风,2,0,37,
19,24.6,东南风,1,0,44,
20,22.9,南风,1,0,52,
21,20.1,东南风,1,0,69,
