小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,19.4,南风,2,0,53,
23,18.2,东南风,2,0,56,
00,17.1,南风,2,0,56,
01,17.5,南风,2,0,56,
02,16.9,南风,2,0,59,
03,16.6,南风,2,0,65,
04,16.6,南风,2,0,70,
05,16.2,南风,2,0,76,
06,16.6,南风,2,0,79,
07,18.4,南风,2,0,74,
08,20.4,南风,2,0,67,
09,22.5,南风,2,0,58,
10,25.1,南风,2,0,51,
11,27.0,南风,2,0,46,
12,28.1,西南风,2,0,43,
13,28.9,西南风,2,0,41,
14,29.3,南风,2,0,41,
15,29.8,西南风,2,0,37,
16,30.0,西南风,2,0,37,
17,29.5,西南风,2,0,34,
18,28.6,西南风,2,0,42,
19,27.2,南风,2,0,50,
20,26.3,南风,2,0,53,
21,25.5,南风,2,0,57,
22,24.9,南风,2,0,59,
