小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,18.2,东南风,2,0,43,
23,17.8,东南风,2,0,50,
00,16.5,南风,1,0,56,
01,15.7,南风,2,0,62,
02,15.4,南风,1,0,68,
03,15.2,东南风,1,0,74,
04,14.9,南风,2,0,79,
05,14.5,东南风,1,0,84,
06,15.8,东南风,2,0,80,
07,17.8,东南风,2,0,73,
08,20.2,东南风,2,0,65,
09,22.0,南风,2,0,56,
10,23.9,南风,2,0,51,
11,26.6,南风,2,0,46,
12,27.8,东南风,2,0,40,
13,29.1,南风,2,0,36,
14,29.6,南风,2,0,36,
15,29.8,东南风,3,0,38,
16,29.6,南风,3,0,38,
17,28.6,东南风,2,0,43,
18,26.9,南风,2,0,46,
19,25.6,东南风,2,0,49,
20,24.5,东南风,2,0,51,
21,23.4,东南风,2,0,56,
22,22.6,南风,1,0,61,
