小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.4,东南风,2,0,50,
22,17.4,东南风,2,0,59,
23,17.0,东南风,2,0,64,
00,16.3,东南风,2,0,66,
01,15.7,东南风,1,0,71,
02,14.2,东南风,1,0,79,
03,14.2,东南风,2,0,78,
04,13.7,东南风,1,0,80,
05,13.1,东南风,2,0,84,
06,13.3,东南风,1,0,88,
07,16.6,东南风,2,0,75,
08,19.5,东南风,2,0,68,
09,23.1,东南风,3,0,56,
10,25.5,东南风,3,0,49,
11,26.8,东南风,3,0,46,
12,28.1,南风,2,0,37,
13,28.3,东南风,3,0,37,
14,28.5,东南风,3,0,35,
15,28.6,南风,3,0,33,
16,28.6,南风,3,0,36,
17,28.4,南风,3,0,38,
18,27.3,南风,2,0,45,
19,25.2,东南风,1,0,56,
20,23.8,南风,2,0,62,
21,22.8,南风,1,0,69,
