小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.6,东南风,2,0,71,
22,16.7,东南风,2,0,73,
23,15.9,东南风,1,0,78,
00,15.3,东南风,2,0,82,
01,14.6,东南风,1,0,83,
02,14.7,东南风,2,0,75,
03,14.4,东南风,2,0,72,
04,13.9,东南风,1,0,72,
05,13.4,东南风,1,0,75,
06,14.3,东南风,2,0,73,
07,16.1,南风,3,0,70,
08,18.2,南风,2,0,66,
09,20.5,南风,2,0,62,
10,22.2,东南风,2,0,58,
11,23.8,南风,3,0,56,
12,25.4,南风,3,0,52,
13,26.7,南风,2,0,50,
14,27.2,南风,2,0,47,
15,27.6,南风,3,0,43,
16,27.7,南风,3,0,46,
17,27.6,南风,2,0,46,
18,27.0,南风,2,0,48,
19,25.7,南风,2,0,54,
20,23.9,南风,1,0,64,
21,22.7,东南风,1,0,72,
