小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.3,东南风,2,0,39,
22,17.9,东南风,2,0,44,
23,16.2,东南风,2,0,54,
00,15.7,东南风,1,0,59,
01,16.0,东南风,2,0,68,
02,15.8,东南风,2,0,77,
03,15.7,南风,3,0,77,
04,15.3,南风,2,0,81,
05,15.2,南风,2,0,82,
06,16.0,东南风,2,0,82,
07,17.5,东南风,3,0,76,
08,19.6,东南风,2,0,67,
09,21.5,东南风,2,0,59,
10,23.5,南风,2,0,51,
11,25.0,东南风,3,0,46,
12,26.5,南风,2,0,43,
13,27.1,南风,2,0,40,
14,27.7,南风,3,0,37,
15,27.6,南风,3,0,36,
16,27.2,东南风,3,0,37,
17,26.4,东南风,3,0,42,
18,24.8,东南风,3,0,48,
19,23.3,南风,2,0,54,
20,22.1,东南风,3,0,61,
21,21.4,东南风,3,0,65,
