小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,23.5,南风,1,0,79,
23,22.9,南风,1,0,81,
00,22.2,南风,1,0,82,
01,22.0,南风,2,0,80,
02,21.7,西南风,1,0,81,
03,21.7,东南风,1,0,80,
04,21.8,南风,1,0,79,
05,22.0,东南风,1,0,80,
06,22.0,南风,2,0,81,
07,22.3,南风,2,0,76,
08,24.3,东南风,2,0,64,
09,25.3,东南风,2,0,58,
10,26.4,南风,2,0,60,
11,27.7,南风,2,0,59,
12,27.9,南风,3,0,59,
13,28.2,南风,3,0,56,
14,27.3,西南风,2,0,61,
15,26.0,西南风,2,0,66,
16,24.2,北风,1,1,88,
17,24.2,东风,1,0.2,88,
18,23.9,东风,2,0,83,
19,23.7,东风,1,0.1,86,
20,23.8,东风,2,0,85,
21,23.6,东风,1,0,86,
22,23.6,东南风,2,0,80,
