小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.3,南风,2,0,62,77
22,20.2,东南风,1,0,63,82
23,18.9,东南风,1,0,66,88
00,19.1,东南风,2,0,65,79
01,18.2,南风,1,0,71,73
02,17.5,东北风,1,0,76,73
03,17.9,东南风,1,0,67,69
04,17.7,东南风,1,0,70,68
05,17.0,南风,1,0,80,73
06,17.3,东南风,2,0,83,73
07,19.1,东风,1,0,81,70
08,21.7,东北风,2,0,70,72
09,24.9,西南风,3,0,53,72
10,25.6,南风,3,0,48,64
11,26.2,西南风,3,0,45,57
12,27.0,西南风,4,0,44,50
13,26.9,西南风,4,0,46,47
14,25.9,西南风,4,0,51,46
15,25.9,南风,3,0,53,48
16,24.6,南风,3,0,64,53
17,23.5,西南风,3,0,71,56
18,22.4,西南风,2,0,78,55
19,22.1,西南风,3,0,76,54
20,22.6,西南风,3,0,73,62
21,22.6,西南风,2,0,76,62
