小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.7,东风,2,0,52,
22,22.4,东风,1,0,50,
23,21.2,西南风,1,0,61,
00,20.7,西南风,1,0,64,
01,20.9,南风,1,0,62,
02,20.9,东南风,2,0,63,
03,20.0,东南风,1,0,69,
04,20.3,东南风,2,0,68,
05,21.3,东南风,2,0,68,
06,20.9,东南风,3,0,74,
07,21.3,南风,2,0,75,
08,22.9,东南风,3,0,72,
09,25.0,东南风,3,0,66,
10,25.3,东南风,3,0,59,
11,25.8,南风,3,0,55,
12,26.2,南风,3,0,54,
13,27.5,南风,3,0,53,
14,27.3,南风,3,0,55,
15,26.3,南风,3,0,57,
16,26.0,西南风,3,0,60,
17,25.3,南风,3,0,63,
18,24.1,南风,3,0,72,
19,22.5,南风,4,0,85,
20,21.8,南风,3,0,89,
21,21.5,南风,3,0,90,
