小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.5,北风,1,0,76,
22,22.1,南风,2,0,80,
23,22.8,西南风,2,0,73,
00,22.8,西南风,2,0,69,
01,22.6,西南风,1,0,73,
02,21.8,南风,2,0,81,
03,20.9,南风,2,0,88,
04,20.6,南风,2,0,88,
05,20.4,南风,2,0,90,
06,20.4,南风,2,0,89,
07,21.4,南风,2,0,85,
08,24.1,东南风,3,0,68,
09,25.6,南风,2,0,61,
10,26.2,南风,3,0,59,
11,27.1,南风,3,0,62,
12,27.0,南风,3,0,63,
13,26.2,南风,3,0,65,
14,25.6,南风,3,0,70,
15,25.6,南风,3,0,70,
16,25.8,东南风,2,0,73,
17,25.3,东南风,2,0,75,
18,24.7,东风,2,0,81,
19,24.2,东风,2,0,85,
20,23.6,东风,2,0,87,
21,23.3,东风,2,0,87,
