小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.7,西南风,2,0,83,
22,20.8,西风,1,0,79,
23,20.8,西南风,1,0,77,
00,20.5,西南风,1,0,81,
01,20.3,南风,1,0,83,
02,20.2,南风,1,0,86,
03,19.9,西南风,2,0,90,
04,19.7,西风,1,0,88,
05,19.8,西南风,1,0,87,
06,20.0,东风,1,0,91,
07,20.5,东南风,1,0,85,
08,20.7,西风,1,0,86,
09,21.9,西南风,1,0,79,
10,23.9,西南风,1,0,68,
11,26.0,南风,2,0,62,
12,27.6,东南风,2,0,59,
13,28.1,南风,2,0,60,
14,29.1,西南风,1,0,58,
15,30.1,西南风,2,0,54,
16,29.3,西南风,2,0,57,
17,27.6,西风,1,0,75,
18,27.7,南风,1,0,65,
19,27.8,东南风,2,0,61,
20,27.0,东南风,1,0,66,
21,27.3,东南风,2,0,63,
