小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.4,西北风,1,0,73,
22,20.9,西北风,1,0,78,
23,20.4,南风,1,0,75,
00,20.0,南风,1,0,77,
01,19.5,东风,1,0,78,
02,19.5,西南风,1,0,76,
03,19.1,西南风,1,0,83,
04,19.0,西南风,1,0,86,
05,19.1,南风,1,0,85,
06,19.1,西南风,1,0,86,
07,19.5,南风,1,0,83,
08,20.5,南风,1,0,78,
09,21.2,南风,1,0,73,
10,23.7,东风,2,0,61,
11,24.4,南风,1,0,62,
12,25.4,东南风,1,0,59,
13,26.3,南风,2,0,58,
14,27.0,南风,2,0,59,
15,27.1,东风,1,0,60,
16,27.3,北风,1,0,60,
17,27.1,北风,1,0,62,
18,26.1,西北风,1,0,70,
19,25.2,东风,1,0,72,
20,24.0,西风,1,0,80,
21,23.4,西风,1,0,83,
