小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.1,西南风,1,0,73,
22,22.9,南风,1,0,76,
23,22.2,西南风,2,0,78,
00,22.0,南风,2,0,74,
01,21.5,西南风,1,0,79,
02,21.3,西南风,2,0,80,
03,20.5,西南风,1,0,82,
04,20.4,西南风,1,0,82,
05,20.6,西南风,1,0,74,
06,20.5,西南风,2,0,76,
07,20.8,西风,1,0,78,
08,22.2,西南风,1,0,70,
09,23.8,西南风,2,0,62,
10,24.7,西南风,2,0,57,
11,25.0,西南风,2,0,59,
12,25.4,南风,2,0,61,
13,25.1,西南风,2,0,60,
14,24.9,西南风,1,0,68,
15,24.7,西风,1,0,67,
16,24.4,西风,1,0,73,
17,24.0,西南风,1,0,74,
18,24.0,西南风,0,0,75,
19,23.6,东风,1,0,80,
20,23.5,东北风,1,0,81,
21,23.4,北风,1,0,79,
