小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.0,西南风,1,0,69,64
22,20.4,西南风,1,0,72,64
23,20.6,西风,1,0,72,62
00,20.5,西北风,1,0,72,61
01,20.5,西南风,1,0,71,58
02,19.7,西南风,2,0,71,57
03,19.7,西风,1,0,66,55
04,19.7,西风,1,0,64,56
05,19.9,西风,1,0,61,55
06,20.1,南风,1,0,59,51
07,21.6,东南风,1,0,58,49
08,21.7,西南风,1,0,60,47
09,22.6,西南风,1,0,61,47
10,23.3,南风,2,0,62,52
11,24.9,西南风,2,0,61,53
12,25.5,南风,2,0,61,54
13,26.4,南风,2,0,57,53
14,25.5,南风,2,0,62,51
15,26.3,西南风,1,0,64,50
16,25.5,东风,1,0,68,51
17,25.0,东北风,1,0,71,52
18,24.2,东风,1,0,75,52
19,23.6,东北风,2,0,75,56
20,22.9,东北风,2,0,79,59
21,22.6,东北风,2,0,79,
