小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.0,西南风,2,0,60,
22,20.9,东风,2,0,66,
23,20.6,东风,1,0,73,
00,20.4,东南风,1,0,74,
01,20.2,东北风,1,0,77,
02,20.0,东北风,1,0,78,
03,19.7,东北风,1,0,80,
04,19.2,北风,1,0,85,
05,18.5,北风,1,0,87,
06,18.4,东北风,1,0,88,
07,19.1,北风,1,0,86,
08,20.3,北风,1,0,79,
09,22.0,北风,1,0,72,
10,23.7,南风,1,0,64,
11,25.1,北风,1,0,58,
12,26.5,北风,1,0,58,
13,25.5,西风,2,0,62,
14,26.3,北风,1,0,61,
15,26.1,东北风,2,0,66,
16,25.6,东北风,2,0,67,
17,25.1,东北风,2,0,69,
18,24.8,东北风,2,0,69,
19,24.1,东风,2,0,71,
20,22.8,东北风,2,0,80,
21,21.9,北风,2,0,86,
