小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.6,西北风,1,0,80,
22,21.1,西风,1,0,81,
23,20.7,北风,1,0,83,
00,20.2,西北风,1,0,87,
01,19.9,西北风,1,0,87,
02,19.8,西风,1,0,86,
03,19.8,北风,1,0,87,
04,19.6,西北风,1,0,89,
05,19.5,东风,1,0,88,
06,19.3,西风,1,0,89,
07,20.0,西风,1,0,87,
08,20.7,西风,1,0,83,
09,22.1,东北风,1,0,78,
10,24.7,东南风,2,0,67,
11,27.1,东南风,2,0,59,
12,29.1,南风,2,0,54,
13,29.0,东南风,2,0,55,
14,29.3,南风,2,0,55,
15,29.2,南风,2,0,56,
16,28.9,东南风,2,0,57,
17,28.4,南风,2,0,59,
18,27.9,南风,1,0,61,
19,27.2,南风,1,0,65,
20,25.9,西南风,1,0,71,
21,25.1,西南风,1,0,75,
