小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.6,西风,1,0,75,
22,22.5,西风,1,0,76,
23,22.0,西风,1,0,78,
00,21.8,西风,1,0,79,
01,21.6,西风,1,0,78,
02,21.3,东北风,1,0,81,
03,20.9,北风,1,0,87,
04,20.7,西北风,1,0,85,
05,20.4,东南风,1,0,89,
06,20.3,西南风,1,0,86,
07,21.4,东南风,1,0,84,
08,22.3,西南风,2,0,81,
09,22.8,西南风,2,0,80,
10,24.1,南风,2,0,76,
11,24.5,西南风,2,0,72,
12,25.4,南风,2,0,70,
13,26.5,南风,3,0,61,
14,27.1,东南风,2,0,58,
15,28.1,南风,2,0,54,
16,27.6,南风,2,0,58,
17,27.3,东南风,2,0,62,
18,27.0,东南风,2,0,61,
19,26.3,西南风,2,0,63,
20,26.0,南风,2,0,63,
21,25.4,南风,2,0,62,
