小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.8,东风,1,0,87,
22,19.5,东风,1,0,87,
23,19.2,东风,1,0,89,
00,18.8,东北风,1,0,91,
01,18.6,东南风,1,0,91,
02,18.5,东南风,1,0,92,
03,18.6,东北风,1,0,92,
04,18.4,东北风,1,0,92,
05,18.1,东风,1,0,91,
06,18.0,南风,1,0,94,
07,18.8,北风,1,0,91,
08,19.8,东北风,1,0,88,
09,21.5,北风,1,0,81,
10,23.1,北风,1,0,74,
11,26.9,西南风,2,0,62,
12,27.9,西南风,2,0,55,
13,28.4,西南风,3,0,56,
14,29.0,南风,3,0,54,
15,28.4,西南风,2,0,56,
16,27.1,西南风,2,0,61,
17,27.0,西南风,2,0,62,
18,26.5,西南风,2,0,68,
19,24.0,东南风,2,0,81,
20,22.8,东风,1,0,85,
21,22.5,北风,1,0,90,
