小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.4,东北风,1,0,74,56
22,21.8,北风,1,0,80,57
23,21.8,东风,1,0,82,56
00,21.4,东风,1,0,82,55
01,20.9,东北风,1,0,80,56
02,20.6,东南风,1,0,84,56
03,20.4,东风,1,0,83,55
04,20.0,东风,1,0,85,54
05,19.9,东风,2,0,86,53
06,19.8,东风,1,0,89,53
07,20.2,东北风,1,0,86,55
08,22.1,东风,2,0,77,53
09,23.7,东风,1,0,69,54
10,25.8,南风,1,0,64,54
11,26.3,西南风,2,0,58,
12,27.8,南风,2,0,51,51
13,27.9,西南风,3,0,53,48
14,28.9,南风,2,0,54,43
15,28.8,西南风,3,0,54,43
16,28.6,西南风,2,0,56,47
17,28.2,西南风,2,0,57,45
18,28.2,西南风,2,0,58,46
19,27.4,东南风,1,0,62,45
20,26.5,东南风,1,0,66,47
21,26.3,西南风,1,0,67,48
