小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.0,东南风,2,0,44,
22,22.5,东南风,2,0,48,
23,21.4,东南风,2,0,52,
00,21.7,南风,2,0,47,
01,21.3,南风,2,0,48,
02,21.0,南风,2,0,50,
03,20.8,南风,2,0,52,
04,20.2,南风,2,0,56,
05,19.7,南风,2,0,58,
06,19.6,西南风,3,0,57,
07,20.0,西南风,2,0,57,
08,21.0,南风,2,0,57,
09,21.9,西南风,3,0,55,
10,23.8,西南风,2,0,52,
11,25.2,西南风,2,0,50,
12,26.9,南风,2,0,52,
13,28.6,南风,2,0,48,
14,29.4,西南风,3,0,45,
15,29.9,南风,2,0,45,
16,29.3,西南风,2,0,50,
17,28.6,西南风,2,0,51,
18,24.4,东北风,1,1.7,78,
19,21.6,东风,2,2.5,90,
20,20.6,东北风,1,0.1,91,
21,20.6,西北风,2,0,94,
