小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,20.8,东风,2,0,42,
21,19.5,东风,2,0,44,
22,18.9,东风,2,0,47,
23,18.2,东风,2,0,51,
00,17.8,东风,2,0,54,
01,17.9,东风,2,0,57,
02,17.7,东南风,2,0,58,
03,18.1,东南风,2,0,58,
04,18.2,东南风,2,0,56,
05,18.0,东南风,2,0,57,
06,18.0,东南风,2,0,59,
07,19.1,东南风,2,0,60,
08,21.4,西南风,3,0,51,
09,22.4,西南风,3,0,47,
10,23.6,西南风,3,0,48,
11,24.3,西南风,3,0,47,
12,25.6,西南风,2,0,45,
13,26.8,西南风,2,0,44,
14,27.4,西南风,3,0,44,
15,27.9,西南风,2,0,42,
16,28.0,西南风,2,0,43,
17,27.2,西风,2,0,47,
18,24.5,西北风,3,0,57,
19,21.7,西风,2,0.3,78,
20,20.8,西风,1,0.1,86,
