小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,24.8,南风,2,0,37,
21,23.1,南风,1,0,43,
22,22.1,南风,2,0,46,
23,21.3,南风,2,0,50,
00,20.5,南风,2,0,49,
01,21.0,南风,3,0,46,
02,20.8,南风,3,0,47,
03,20.1,南风,3,0,51,
04,19.5,南风,2,0,55,
05,19.4,南风,3,0,54,
06,19.5,南风,3,0,52,
07,20.7,西南风,3,0,49,
08,21.6,西南风,3,0,49,
09,23.3,西南风,3,0,48,
10,25.1,西南风,2,0,48,
11,26.7,西南风,3,0,46,
12,28.4,西南风,3,0,43,
13,30.2,西南风,3,0,42,
14,30.7,西南风,3,0,41,
15,31.0,西南风,3,0,41,
16,30.5,西南风,2,0,43,
17,29.3,西风,2,0,47,
18,28.5,西南风,2,0,48,
19,26.7,西北风,2,0.2,62,
20,22.3,北风,2,1.3,80,
