小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,25.9,南风,2,0,37,87
21,25.2,南风,3,0,36,82
22,24.4,南风,2,0,37,75
23,23.6,西南风,2,0,39,71
00,22.6,西南风,1,0,40,68
01,21.8,南风,1,0,43,75
02,21.0,西南风,1,0,44,64
03,21.0,南风,2,0,45,63
04,20.4,南风,2,0,49,61
05,19.6,南风,1,0,54,60
06,19.3,南风,1,0,56,59
07,20.0,南风,2,0,56,64
08,21.3,西南风,2,0,52,60
09,22.7,西南风,2,0,50,62
10,24.1,南风,2,0,48,63
11,25.5,南风,2,0,47,65
12,26.9,南风,2,0,45,70
13,28.1,西南风,2,0,43,77
14,29.4,西南风,2,0,41,99
15,28.7,西风,2,0,43,105
16,27.0,西南风,1,0,52,92
17,23.5,东风,1,0,71,92
18,22.5,西南风,1,0.2,73,61
19,21.5,西南风,1,0.7,80,55
20,21.8,西南风,1,0.1,69,62
