小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.0,南风,2,0,42,
22,23.1,东南风,2,0,44,
23,22.3,东南风,2,0,45,
00,21.3,东南风,2,0,47,
01,21.0,东南风,2,0,47,
02,20.1,东南风,1,0,49,
03,20.0,东南风,1,0,50,
04,19.6,东南风,2,0,54,
05,19.5,东南风,1,0,56,
06,19.2,东南风,2,0,59,
07,19.9,南风,2,0,58,
08,21.2,南风,3,0,53,
09,22.5,南风,2,0,51,
10,23.6,西南风,2,0,50,
11,25.3,东南风,2,0,48,
12,26.8,南风,2,0,47,
13,27.6,南风,2,0,45,
14,28.6,南风,2,0,43,
15,29.4,西南风,2,0,43,
16,27.4,西北风,2,0,49,
17,24.1,北风,2,0,66,
18,23.8,北风,2,0,64,
19,21.5,北风,2,0,81,
20,21.4,西北风,2,0,81,
21,22.0,西北风,2,0,36,
