小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,22.2,东风,3,0,47,
21,21.7,东风,3,0,49,
22,20.9,东风,1,0,52,
23,20.1,东北风,1,0,54,
00,20.1,北风,1,0,56,
01,20.1,东北风,1,0,57,
02,19.0,东南风,1,0,60,
03,18.9,东北风,1,0,61,
04,18.6,东北风,1,0,63,
05,18.1,东北风,1,0,65,
06,18.0,北风,1,0,64,
07,18.3,北风,1,0,64,
08,19.1,东风,1,0,64,
09,20.5,东北风,1,0,57,
10,22.7,东南风,1,0,51,
11,24.3,东风,2,0,47,
12,26.3,东北风,2,0,42,
13,25.3,东北风,2,0,46,
14,23.1,西北风,3,0,43,
15,21.2,西南风,1,0,47,
16,22.8,西风,1,0,38,
17,20.1,西北风,4,0,39,
18,19.6,西北风,3,0,26,
19,19.7,西北风,4,0,18,
20,18.8,西北风,3,0,15,
