小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.9,南风,2,0,58,
22,18.6,东南风,2,0,60,
23,18.8,南风,4,0,61,
00,18.2,南风,2,0,64,
01,17.8,南风,2,0,65,
02,17.7,南风,3,0,63,
03,17.4,南风,2,0,63,
04,16.5,东南风,2,0,67,
05,16.2,东南风,2,0,66,
06,16.0,南风,3,0,64,
07,16.9,南风,3,0,61,
08,19.3,东南风,3,0,56,
09,21.1,东南风,3,0,51,
10,22.8,南风,4,0,46,
11,23.0,南风,4,0,46,
12,23.0,南风,4,0,47,
13,23.8,南风,4,0,44,
14,16.2,西南风,3,6,80,
15,17.2,东南风,2,0,78,
16,17.6,东南风,2,0,84,
17,17.6,北风,4,0,60,
18,16.3,西北风,6,0,43,
19,15.2,西北风,5,0,34,
20,13.7,西北风,5,0,27,
21,12.7,西北风,4,0,30,
