小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.0,西风,2,0,51,
22,18.6,西风,2,0,54,
23,18.2,西南风,2,0,57,
00,17.6,西风,2,0,59,
01,17.2,西风,2,0,58,
02,16.5,西风,2,0,60,
03,15.9,西北风,1,0,61,
04,16.0,西北风,2,0,58,
05,15.8,西风,1,0,59,
06,15.7,西北风,2,0,60,
07,16.0,西南风,2,0,62,
08,16.6,西风,2,0,61,
09,16.7,西南风,2,0,63,
10,18.1,北风,2,0,60,
11,19.8,西风,2,0,56,
12,21.4,西南风,2,0,56,
13,21.9,西风,2,0,55,
14,21.4,西南风,3,0,57,
15,20.5,西风,3,0,61,
16,16.9,西风,2,2.8,88,
17,16.5,西北风,1,3.1,93,
18,16.4,西风,1,1.2,94,
19,16.2,西风,2,0,94,
20,15.8,西北风,3,0,63,
21,15.0,西北风,1,0,49,
