小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.5,西风,2,0,49,
22,21.1,西南风,2,0,51,
23,19.7,东南风,2,0,52,
00,19.0,东南风,2,0,52,
01,18.0,东风,1,0,52,
02,17.6,东南风,2,0,53,
03,16.2,西风,1,0,60,
04,15.7,东风,1,0,62,
05,15.4,北风,1,0,62,
06,14.7,东北风,1,0,68,
07,16.7,南风,1,0,58,
08,19.2,东南风,2,0,52,
09,20.5,东南风,2,0,48,
10,22.2,南风,3,0,46,
11,23.5,东南风,3,0,42,
12,25.0,南风,3,0,40,
13,24.2,南风,3,0,44,
14,21.5,西风,4,0,53,
15,16.9,西风,1,2.1,87,
16,16.5,西南风,1,1.1,87,
17,16.5,南风,2,0.4,86,
18,15.2,西北风,4,1.7,79,
19,15.2,西北风,4,0.3,53,
20,14.9,西北风,4,0.1,34,
21,13.7,西北风,3,0,32,
