小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.5,南风,2,0,41,
22,23.8,西南风,3,0,32,
23,22.4,西南风,2,0,33,
00,21.6,西南风,3,0,39,
01,20.9,西南风,3,0,44,
02,21.1,西南风,3,0,46,
03,19.9,西南风,3,0,51,
04,19.3,西南风,3,0,54,
05,19.0,西南风,3,0,57,
06,18.7,西南风,3,0,59,
07,19.4,西南风,3,0,58,
08,21.2,西南风,4,0,51,
09,22.9,西南风,4,0,48,
10,24.9,西南风,3,0,48,
11,26.5,西南风,3,0,48,
12,27.3,西南风,4,0,46,
13,28.3,西南风,4,0,44,
14,29.3,西南风,3,0,44,
15,29.1,西南风,4,0,45,
16,29.5,西南风,4,0,41,
17,29.4,西南风,4,0,37,
18,28.7,西南风,3,0,37,
19,27.8,西南风,2,0,39,
20,27.6,西南风,2,0,39,
21,25.2,西风,3,0,65,
