小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,23.8,南风,2,0,40,
23,23.5,南风,3,0,34,
00,22.5,西南风,3,0,37,
01,21.3,南风,3,0,42,
02,20.7,南风,3,0,46,
03,20.8,南风,4,0,48,
04,20.2,西南风,4,0,51,
05,19.6,南风,4,0,55,
06,19.3,南风,4,0,57,
07,20.5,南风,4,0,53,
08,22.1,西南风,4,0,46,
09,23.7,西南风,4,0,47,
10,25.5,西南风,3,0,47,
11,26.4,西南风,4,0,46,
12,27.9,西南风,4,0,44,
13,29.1,西南风,4,0,43,
14,29.9,西南风,4,0,39,
15,30.2,西南风,4,0,40,
16,30.0,西南风,5,0,40,
17,29.1,西南风,4,0,41,
18,28.5,西南风,3,0,44,
19,27.9,西南风,2,0,46,
20,27.3,西南风,2,0,49,
21,22.1,北风,3,0,84,
22,20.7,北风,2,0.2,83,
