小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.7,东南风,3,0,54,
22,21.4,南风,3,0,58,
23,21.8,南风,3,0,55,
00,21.6,南风,4,0,54,
01,20.6,南风,3,0,57,
02,19.6,南风,3,0,61,
03,19.2,南风,3,0,62,
04,18.7,南风,3,0,66,
05,18.5,南风,4,0,66,
06,18.2,南风,3,0,67,
07,18.9,南风,3,0,65,
08,20.1,南风,4,0,62,
09,21.7,南风,4,0,62,
10,23.7,南风,3,0,58,
11,25.4,南风,3,0,59,
12,26.9,南风,4,0,54,
13,28.6,南风,3,0,51,
14,29.1,南风,4,0,50,
15,29.0,南风,4,0,50,
16,27.5,西南风,2,0,64,
17,18.9,西北风,1,16.6,93,
18,19.5,东南风,3,1.7,93,
19,19.3,北风,2,0,94,
20,18.7,西北风,2,0,95,
21,18.2,西北风,2,0,95,
