小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,24.4,南风,2,0,40,
21,23.7,南风,3,0,41,
22,22.9,南风,3,0,43,
23,22.4,南风,3,0,43,
00,21.8,南风,3,0,44,
01,20.9,南风,3,0,48,
02,20.5,南风,3,0,51,
03,19.9,南风,2,0,54,
04,19.4,南风,3,0,56,
05,18.8,南风,3,0,57,
06,18.7,南风,3,0,55,
07,19.2,南风,3,0,55,
08,20.5,南风,3,0,53,
09,22.1,南风,4,0,51,
10,24.0,西南风,4,0,49,
11,26.1,南风,3,0,48,
12,28.0,南风,3,0,45,
13,29.0,南风,3,0,45,
14,29.6,南风,4,0,44,
15,30.3,南风,3,0,43,
16,30.3,西南风,3,0,44,
17,28.7,西风,2,0,48,
18,19.4,北风,2,6.5,100,
19,20.1,东风,2,1.4,95,
20,20.0,北风,1,0,100,
