小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.2,南风,2,0,45,
22,22.5,南风,2,0,46,
23,22.7,南风,3,0,44,
00,22.1,南风,3,0,46,
01,21.3,南风,2,0,50,
02,20.8,南风,2,0,52,
03,20.1,南风,2,0,55,
04,19.3,南风,2,0,58,
05,18.7,南风,2,0,59,
06,18.5,南风,2,0,59,
07,18.5,南风,2,0,61,
08,20.0,南风,3,0,57,
09,21.8,南风,3,0,56,
10,24.1,南风,3,0,54,
11,25.4,南风,3,0,52,
12,27.4,南风,2,0,52,
13,28.5,南风,3,0,49,
14,29.2,南风,3,0,47,
15,30.0,南风,3,0,48,
16,29.7,南风,3,0,47,
17,29.3,西南风,2,0,50,
18,20.4,西北风,3,4.3,86,
19,20.1,东南风,2,2.4,90,
20,20.3,东北风,1,0.1,91,
21,20.4,西风,2,0,89,
