小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.4,南风,3,0,43,
22,24.3,南风,3,0,47,
23,23.4,南风,3,0,51,
00,22.6,南风,3,0,55,
01,21.7,南风,3,0,59,
02,21.4,南风,3,0,58,
03,20.7,南风,3,0,58,
04,19.9,南风,3,0,59,
05,19.2,南风,3,0,60,
06,18.9,南风,3,0,60,
07,19.3,南风,3,0,59,
08,20.3,南风,3,0,58,
09,23.0,南风,3,0,52,
10,25.2,南风,3,0,49,
11,27.7,南风,3,0,43,
12,29.1,南风,3,0,41,
13,30.5,南风,3,0,41,
14,30.9,南风,3,0,42,
15,30.9,南风,3,0,44,
16,30.5,南风,4,0,44,
17,30.1,南风,3,0,46,
18,29.3,南风,3,0,47,
19,22.4,东北风,3,0.1,89,
20,21.7,南风,2,0.1,91,
21,21.4,西北风,2,0,93,
