小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.4,南风,4,0,48,69
22,23.7,南风,5,0,50,70
23,22.9,南风,4,0,54,72
00,22.5,南风,4,0,56,64
01,21.9,南风,4,0,58,59
02,21.1,北风,2,0,61,57
03,20.2,东南风,2,0,66,58
04,19.7,南风,2,0,68,56
05,19.2,东南风,3,0,69,58
06,19.1,东南风,3,0,69,59
07,19.5,南风,3,0,69,56
08,21.1,南风,3,0,63,56
09,23.9,南风,3,0,55,63
10,25.9,东南风,3,0,49,63
11,27.1,东南风,4,0,46,63
12,28.8,东南风,4,0,42,61
13,29.8,东南风,4,0,41,69
14,30.2,东南风,5,0,40,78
15,30.6,东南风,4,0,41,74
16,29.9,南风,5,0,44,70
17,29.1,东南风,4,0,49,75
18,22.8,北风,5,0,84,92
19,21.1,北风,2,0.3,99,82
20,21.1,东北风,2,0,99,50
21,20.8,西北风,2,0,99,
