小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.4,南风,4,0,45,
22,22.8,南风,4,0,46,
23,21.7,南风,4,0,48,
00,20.8,南风,4,0,53,
01,20.2,南风,4,0,56,
02,19.1,南风,4,0,59,
03,18.5,南风,3,0,60,
04,17.7,南风,4,0,62,
05,16.9,南风,3,0,65,
06,16.8,南风,3,0,66,
07,17.7,南风,3,0,65,
08,19.3,南风,3,0,62,
09,21.7,南风,4,0,58,
10,23.8,南风,4,0,55,
11,26.2,南风,4,0,53,
12,27.7,南风,4,3.6,49,
13,29.1,南风,4,0,45,
14,29.2,南风,5,0,46,
15,29.6,南风,5,0,45,
16,29.8,南风,4,0,45,
17,29.1,南风,4,0,48,
18,28.3,南风,4,0,52,
19,25.3,北风,5,0,59,
20,21.8,西北风,3,0.1,80,
21,20.5,东南风,3,2.4,89,
