小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,23.8,南风,2,0,43,
21,22.7,南风,3,0,47,
22,22.6,南风,3,0,45,
23,21.7,南风,3,0,47,
00,20.6,南风,3,0,52,
01,19.5,南风,3,0,57,
02,18.5,南风,2,0,60,
03,17.7,南风,2,0,65,
04,17.5,南风,2,0,63,
05,17.0,南风,2,0,64,
06,16.9,南风,2,0,65,
07,17.7,南风,3,0,64,
08,19.5,南风,3,0,62,
09,21.7,南风,3,0,59,
10,23.9,南风,3,0,55,
11,26.1,南风,3,0,52,
12,27.6,南风,4,0,48,
13,28.3,南风,4,0,47,
14,29.7,南风,4,0,42,
15,29.8,南风,4,0,42,
16,29.8,南风,4,0,45,
17,28.8,南风,3,0,48,
18,27.8,南风,3,0,51,
19,27.7,西北风,3,0,52,
20,22.5,北风,3,0,73,
