小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,24.2,南风,2,0,42,
21,23.2,南风,2,0,44,
22,22.3,南风,2,0,47,
23,21.5,南风,2,0,49,
00,20.6,南风,3,0,52,
01,19.7,南风,2,0,56,
02,18.9,南风,2,0,60,
03,18.0,南风,2,0,64,
04,17.3,南风,2,0,65,
05,16.8,南风,2,0,65,
06,16.9,南风,2,0,64,
07,17.6,南风,2,0,64,
08,19.5,南风,3,0,61,
09,21.7,西南风,3,0,58,
10,23.8,西南风,3,0,53,
11,25.9,南风,3,0,51,
12,27.9,西南风,3,0,45,
13,28.5,西南风,3,0,44,
14,29.7,南风,3,0,39,
15,30.3,西南风,3,0,39,
16,30.2,西南风,3,0,39,
17,29.7,南风,3,0,43,
18,28.9,南风,2,0,46,
19,27.3,南风,2,0,54,
20,25.4,北风,3,0,63,
