小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.6,南风,2,0,41,
20,26.0,南风,2,0,45,
21,24.5,南风,2,0,48,
22,22.4,东风,1,0,57,
23,22.5,南风,2,0,51,
00,21.2,南风,2,0,59,
01,20.5,南风,2,0,56,
02,19.9,南风,2,0,58,
03,19.5,南风,2,0,57,
04,19.2,南风,2,0,52,
05,19.5,南风,2,0,47,
06,18.5,南风,2,0,55,
07,20.6,南风,1,0,52,
08,23.3,南风,2,0,38,
09,25.1,南风,2,0,38,
10,27.3,南风,2,0,32,
11,28.8,南风,3,0,36,
12,29.6,南风,3,0,36,
13,30.4,南风,3,0,35,
14,30.8,南风,3,0,34,
15,31.3,南风,3,0,34,
16,31.3,南风,2,0,31,
17,31.0,南风,3,0,32,
18,29.9,南风,3,0,36,
19,28.5,南风,2,0,42,
