小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,26.7,东南风,2,0,47,
20,24.6,东南风,1,0,54,
21,22.9,南风,2,0,60,
22,22.5,南风,2,0,60,
23,21.2,东南风,2,0,60,
00,19.3,西南风,2,0,70,
01,18.8,南风,1,0,66,
02,19.0,南风,2,0,63,
03,18.7,西南风,2,0,58,
04,16.5,西南风,1,0,68,
05,17.4,南风,2,0,58,
06,17.7,南风,2,0,57,
07,20.2,南风,3,0,49,
08,22.8,南风,3,0,42,
09,24.8,南风,4,0,36,
10,26.5,南风,4,0,36,
11,28.0,南风,3,0,39,
12,29.1,南风,3,0,41,
13,30.3,南风,3,0,38,
14,31.0,南风,3,0,39,
15,31.3,南风,3,0,38,
16,31.2,南风,3,0,36,
17,31.0,南风,3,0,38,
18,29.9,南风,2,0,41,
19,27.6,南风,2,0,50,
