小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,26.4,东南风,2,0,50,
20,23.8,南风,2,0,57,
21,23.6,东南风,3,0,56,
22,22.1,东南风,3,0,65,
23,21.7,东南风,3,0,68,
00,21.1,东南风,3,0,70,
01,21.1,南风,3,0,69,
02,20.3,东南风,3,0,71,
03,19.4,东南风,3,0,77,
04,18.8,东南风,2,0,80,
05,17.4,东风,1,0,85,
06,17.1,东风,1,0,87,
07,19.7,东南风,2,0,76,
08,22.2,南风,2,0,60,
09,23.7,西南风,2,0,56,
10,24.9,西南风,3,0,59,
11,26.8,西南风,3,0,56,
12,27.9,西南风,3,0,58,
13,29.5,西南风,2,0,55,
14,30.6,西南风,2,0,52,
15,31.6,西风,2,0,46,
16,31.7,西南风,2,0,43,
17,31.9,南风,2,0,43,
18,29.5,西南风,2,0,48,
19,28.5,西风,2,0,54,
