小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.1,东风,2,0,38,
20,26.0,东风,2,0,37,
21,24.7,东风,2,0,36,
22,23.8,东风,2,0,37,
23,22.8,东风,2,0,40,
00,21.8,东风,2,0,45,
01,21.3,东风,2,0,46,
02,20.7,东风,2,0,50,
03,19.8,东风,2,0,54,
04,19.7,东风,3,0,56,
05,18.9,东风,2,0,59,
06,18.7,东风,2,0,59,
07,19.8,东南风,2,0,54,
08,22.0,东南风,3,0,50,
09,25.1,东南风,3,0,43,
10,27.2,东南风,3,0,39,
11,28.7,东南风,3,0,37,
12,29.5,东南风,3,0,37,
13,30.6,东南风,3,0,37,
14,31.5,东南风,3,0,33,
15,32.0,东南风,3,0,36,
16,31.6,东南风,3,0,36,
17,31.4,东南风,2,0,39,
18,30.5,东南风,2,0,43,
19,29.0,东风,2,0,46,
