小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,24.1,南风,2,0,54,
20,21.7,南风,2,0,59,
21,20.2,南风,2,0,62,
22,19.6,南风,2,0,59,
23,18.7,南风,2,0,59,
00,18.9,南风,2,0,58,
01,17.2,南风,2,0,66,
02,16.2,南风,2,0,69,
03,15.9,南风,1,0,71,
04,15.2,南风,2,0,74,
05,15.4,南风,1,0,76,
06,15.8,南风,1,0,77,
07,18.9,南风,2,0,72,
08,22.2,南风,3,0,51,
09,24.8,南风,3,0,45,
10,27.0,南风,4,0,38,
11,29.0,南风,3,0,36,
12,30.0,南风,3,0,35,
13,31.0,南风,3,0,36,
14,31.4,南风,4,0,39,
15,31.8,南风,3,0,36,
16,31.6,南风,3,0,38,
17,31.0,南风,3,0,44,
18,29.3,东南风,3,0,48,
19,26.5,东南风,2,0,59,
