小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,26.2,西风,2,0,40,
20,24.1,西风,2,0,43,
21,22.8,西风,1,0,43,
22,21.9,西风,2,0,43,
23,20.9,西风,2,0,46,
00,20.0,西风,1,0,49,
01,19.5,西风,2,0,50,
02,18.9,西风,2,0,53,
03,18.2,西风,2,0,56,
04,17.6,西风,2,0,60,
05,17.1,西风,2,0,62,
06,16.9,西风,2,0,64,
07,19.2,西风,2,0,59,
08,22.7,西北风,2,0,42,
09,25.0,西北风,2,0,38,
10,27.5,西北风,3,0,32,
11,28.8,西北风,3,0,31,
12,29.9,西北风,3,0,31,
13,30.8,西北风,3,0,30,
14,31.7,西北风,3,0,29,
15,32.0,西北风,3,0,30,
16,32.1,西北风,3,0,31,
17,31.6,西风,3,0,35,
18,30.5,西风,2,0,40,
19,28.2,西风,2,0,45,
