小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,26.8,南风,4,0,49,
20,24.6,南风,3,0,56,
21,23.9,南风,3,0,58,
22,22.3,南风,2,0,63,
23,21.1,南风,3,0,65,
00,21.5,南风,2,0,64,
01,21.7,南风,2,0,63,
02,20.6,南风,2,0,68,
03,19.5,南风,2,0,72,
04,18.5,东南风,2,0,76,
05,17.3,南风,2,0,81,
06,17.1,南风,2,0,84,
07,20.2,南风,2,0,74,
08,23.2,东南风,2,0,64,
09,26.3,南风,2,0,54,
10,29.0,南风,3,0,49,
11,30.3,南风,3,0,45,
12,31.3,南风,4,0,41,
13,32.1,南风,4,0,40,
14,32.4,东南风,4,0,44,
15,32.9,东南风,4,0,42,
16,32.2,东南风,4,0,42,
17,31.5,南风,4,0,42,
18,30.3,东南风,3,0,49,
19,28.7,东南风,2,0,53,
