小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.9,西南风,2,0,31,
20,26.9,西南风,3,0,37,
21,26.6,西南风,3,0,36,
22,25.4,西南风,4,0,42,
23,24.5,西南风,4,0,46,
00,23.7,西南风,4,0,50,
01,23.7,西南风,4,0,49,
02,23.5,西南风,4,0,49,
03,23.0,西南风,4,0,51,
04,22.6,西南风,4,0,53,
05,22.2,西南风,4,0,53,
06,22.4,西南风,4,0,50,
07,23.1,西南风,5,0,45,
08,24.1,西南风,5,0,42,
09,25.6,西南风,5,0,39,
10,26.3,西南风,6,0,38,
11,27.9,西南风,4,0,39,
12,28.7,西南风,5,0,39,
13,30.1,西南风,4,0,37,
14,31.2,西南风,4,0,36,
15,31.8,西南风,3,0,34,
16,32.0,西南风,3,0,32,
17,31.8,西南风,3,0,33,
18,31.2,西南风,2,0,35,
19,28.5,西南风,2,0,43,
