小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,26.4,东南风,2,0,45,
20,24.9,东南风,2,0,49,
21,24.1,东南风,2,0,50,
22,23.1,东南风,1,0,53,
23,22.1,南风,2,0,58,
00,21.7,南风,2,0,59,
01,21.5,南风,2,0,58,
02,20.4,南风,2,0,62,
03,19.6,东南风,2,0,66,
04,18.7,东南风,2,0,71,
05,18.2,东南风,2,0,74,
06,18.1,东南风,2,0,76,
07,19.7,南风,2,0,72,
08,22.3,南风,2,0,67,
09,25.0,南风,2,0,59,
10,26.6,南风,3,0,53,
11,27.9,南风,3,0,51,
12,29.0,南风,3,0,51,
13,30.0,南风,2,0,48,
14,30.6,南风,3,0,46,
15,30.8,南风,3,0,42,
16,30.9,南风,3,0,44,
17,30.6,南风,2,0,44,
18,29.8,东南风,2,0,46,
19,27.7,东南风,1,0,54,
