小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.4,东北风,3,0,38,
20,26.0,东北风,3,0,38,
21,24.9,西风,1,0,39,
22,22.3,东北风,1,0,46,
23,20.7,南风,1,0,52,
00,19.8,西北风,1,0,56,
01,18.3,西风,2,0,64,
02,18.5,西风,2,0,62,
03,17.7,北风,1,0,66,
04,17.4,西风,1,0,70,
05,16.9,西风,1,0,73,
06,16.3,东北风,1,0,77,
07,18.8,西风,1,0,71,
08,22.0,西南风,1,0,63,
09,24.1,西南风,2,0,52,
10,27.1,西南风,2,0,46,
11,29.6,西风,3,0,40,
12,31.0,西北风,2,0,35,
13,32.1,西风,2,0,31,
14,33.2,东北风,2,0,27,
15,33.8,西风,1,0,24,
16,34.0,西风,2,0,26,
17,34.1,北风,1,0,25,
18,33.7,西南风,1,0,28,
19,31.4,西南风,2,0,34,
