小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.0,东北风,1,0,57,
20,22.6,南风,2,0,66,
21,22.2,南风,1,0,61,
22,20.8,南风,2,0,67,
23,22.7,西南风,2,0,55,
00,23.6,西南风,2,0,53,
01,20.4,西南风,1,0,69,
02,17.4,西南风,2,0,83,
03,18.5,西南风,2,0,76,
04,16.7,东南风,1,0,86,
05,15.6,北风,1,0,93,
06,14.9,东北风,1,0,98,
07,19.0,北风,1,0,84,
08,23.5,北风,1,0,70,
09,27.0,西南风,3,0,42,
10,28.2,西南风,3,0,39,
11,29.5,西南风,3,0,39,
12,30.6,西南风,3,0,39,
13,31.4,西南风,3,0,38,
14,32.2,西南风,3,0,36,
15,33.1,西南风,2,0,37,
16,33.4,西南风,2,0,34,
17,33.2,南风,2,0,35,
18,32.4,西南风,1,0,37,
19,28.5,西南风,1,0,61,
