小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,25.0,南风,3,0,53,
20,23.0,南风,2,0,60,
21,21.3,南风,2,0,66,
22,20.8,南风,2,0,65,
23,20.4,南风,2,0,65,
00,20.2,南风,2,0,63,
01,19.9,南风,2,0,65,
02,19.0,南风,2,0,68,
03,19.2,南风,2,0,67,
04,18.1,南风,2,0,71,
05,17.6,南风,2,0,72,
06,17.6,南风,2,0,75,
07,19.4,南风,3,0,71,
08,22.0,南风,3,0,66,
09,24.0,南风,3,0,61,
10,26.3,南风,3,0,56,
11,28.1,西南风,3,0,54,
12,28.9,南风,4,0,52,
13,29.8,南风,4,0,49,
14,30.5,南风,3,0,48,
15,31.1,南风,4,0,43,
16,31.2,南风,3,0,45,
17,30.8,南风,2,0,49,
18,29.3,南风,2,0,55,
19,26.8,东南风,2,0,65,
