小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.5,东南风,1,0,52,
20,24.9,东南风,1,0,59,
21,23.4,南风,1,0,63,
22,22.2,南风,1,0,68,
23,22.0,东南风,1,0,68,
00,22.7,南风,1,0,59,
01,21.2,东北风,1,0,65,
02,19.7,东南风,2,0,72,
03,18.9,东南风,1,0,77,
04,18.4,东风,1,0,80,
05,19.2,东南风,1,0,75,
06,18.5,东南风,1,0,80,
07,20.7,东风,1,0,77,
08,24.1,南风,2,0,57,
09,26.3,南风,2,0,52,
10,27.9,南风,3,0,43,
11,29.0,南风,2,0,42,
12,30.0,南风,2,0,42,
13,30.6,南风,3,0,43,
14,31.5,南风,2,0,42,
15,32.3,南风,2,0,40,
16,32.7,南风,2,0,40,
17,32.6,南风,2,0,38,
18,32.1,南风,1,0,41,
19,30.2,南风,2,0,48,
