小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,29.9,东南风,2,0,28,
20,28.8,南风,2,0,28,
21,27.9,东南风,2,0,33,
22,27.2,南风,2,0,36,
23,26.5,东南风,2,0,39,
00,26.5,东南风,2,0,40,
01,25.9,西风,1,0,42,
02,25.7,南风,1,0,42,
03,24.5,南风,1,0,46,
04,21.7,南风,1,0,57,
05,21.0,南风,1,0,59,
06,20.7,南风,1,0,61,
07,23.3,东北风,0,0,61,
08,26.9,东风,1,0,43,
09,28.4,东南风,1,0,39,
10,30.0,北风,1,0,35,
11,31.6,西风,1,0,34,
12,32.1,东南风,2,0,32,
13,33.5,东风,2,0,30,
14,33.3,东南风,2,0,32,
15,34.4,东南风,2,0,32,
16,33.8,东南风,2,0,34,
17,32.9,东南风,3,0,36,
18,32.2,东南风,3,0,38,
19,31.0,东南风,3,0,41,
