小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.8,南风,2,0,30,
20,25.7,西南风,1,0,36,
21,24.7,南风,1,0,41,
22,23.1,西北风,1,0,47,
23,23.0,西北风,2,0,48,
00,22.3,东北风,1,0,52,
01,19.9,西北风,1,0,62,
02,19.0,西北风,1,0,65,
03,21.0,西北风,2,0,57,
04,21.1,北风,1,0,57,
05,20.5,西北风,2,0,59,
06,19.9,西北风,2,0,62,
07,21.2,西北风,1,0,60,
08,23.4,西北风,1,0,55,
09,26.1,东南风,1,0,49,
10,27.7,西南风,2,0,42,
11,29.4,东北风,1,0,41,
12,31.2,东风,2,0,36,
13,31.8,东南风,2,0,35,
14,32.8,东南风,2,0,33,
15,32.9,南风,2,0,33,
16,32.8,南风,3,0,34,
17,31.9,南风,3,0,36,
18,31.1,南风,2,0,38,
19,29.5,南风,1,0,42,
