小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,27.1,东南风,2,0,46,
20,25.5,东南风,2,0,51,
21,24.9,南风,2,0,54,
22,24.1,南风,2,0,57,
23,22.4,南风,2,0,64,
00,21.2,南风,2,0,66,
01,21.5,南风,2,0,62,
02,19.1,西南风,1,0,72,
03,17.7,西南风,2,0,77,
04,17.6,西南风,2,0,71,
05,17.5,南风,2,0,65,
06,18.2,南风,2,0,56,
07,19.4,西南风,2,0,56,
08,21.9,南风,2,0,51,
09,24.8,南风,3,0,40,
10,26.7,南风,3,0,38,
11,28.6,南风,3,0,39,
12,30.3,西南风,3,0,38,
13,31.5,西南风,3,0,35,
14,32.0,南风,3,0,33,
15,32.5,西南风,3,0,32,
16,32.3,南风,3,0,35,
17,31.8,南风,2,0,38,
18,30.7,南风,2,0,44,
19,28.8,南风,2,0,49,
