小时,温度,风力方向,风级,降水量,相对湿度,空气质量
19,25.3,东南风,3,0,63,
20,23.3,东南风,2,0,68,
21,22.2,西南风,2,0,68,
22,20.3,西南风,2,0,71,
23,22.2,西南风,3,0,60,
00,22.2,西南风,3,0,61,
01,20.8,西南风,3,0,68,
02,18.7,南风,3,0,77,
03,18.1,西南风,3,0,79,
04,17.5,南风,3,0,82,
05,17.2,南风,3,0,83,
06,17.0,南风,3,0,85,
07,20.1,南风,3,0,75,
08,23.1,南风,3,0,66,
09,25.3,南风,3,0,61,
10,27.2,南风,4,0,56,
11,28.8,南风,4,0,50,
12,29.8,南风,4,0,52,
13,30.7,南风,4,0,49,
14,31.2,南风,4,0,47,
15,31.7,南风,4,0,46,
16,31.7,南风,3,0,45,
17,31.2,南风,3,0,51,
18,29.2,东南风,3,0,56,
19,27.3,东南风,2,0,62,
