小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.2,东风,2,0,70,
22,17.0,东风,2,0,65,
23,16.5,东风,2,0,71,
00,16.3,东风,2,0,78,
01,15.6,东南风,2,0,83,
02,15.3,东风,2,0,85,
03,15.2,东南风,2,0,83,
04,14.9,东南风,2,0,83,
05,14.2,东风,2,0,88,
06,14.9,东风,1,0,87,
07,17.4,东南风,2,0,74,
08,20.0,东风,2,0,66,
09,21.7,东南风,2,0,61,
10,22.6,东风,2,0,53,
11,23.9,东南风,2,0,59,
12,24.2,东南风,2,0,52,
13,25.3,东南风,2,0,46,
14,25.7,东风,2,0,47,
15,25.6,东风,3,0,50,
16,25.1,东风,3,0,54,
17,23.6,东风,3,0,60,
18,22.5,东风,3,0,65,
19,21.4,东风,2,0,71,
20,20.8,东风,2,0,76,
21,20.8,东南风,2,0,78,
